idx  ,flight_type  ,in_flight_no  ,origin  ,  eta  , bay  ,gate  ,reg_no  ,out_flight_no  ,dest  ,  etd  ,ac_type  ,           pref  
 58  ,    ft.Full  ,       KQ586  ,   NLA  ,20:05  ,  12  ,      ,   CYC  ,               ,      ,23:59  ,   B738  ,                 
 59  ,    ft.Full  ,       KQ603  ,   MBA  ,11:10  ,  13  ,  13  ,   KQH  ,        KQ250  , SEZ  ,11:50  ,   B737  ,                 
 60  ,    ft.Full  ,       KQ607  ,   MBA  ,15:45  ,  19  ,  19  ,   FFK  ,        KQ414  , EBB  ,16:40  ,    E90  ,                 
 61  ,    ft.Full  ,       KQ609  ,   MBA  ,17:15  ,  17  ,  17  ,   KYR  ,        KQ416  , EBB  ,19:10  ,    E90  ,                 
 62  ,    ft.Full  ,       KQ611  ,   MBA  ,19:10  ,  3B  ,   1  ,   KYS  ,        KQ618  , MBA  ,19:55  ,    E90  ,                 
 63  ,    ft.Full  ,       KQ617  ,   MBA  ,21:35  ,  3B  ,      ,   FFF  ,               ,      ,23:59  ,    E90  ,                 
 64  ,    ft.Full  ,       KQ619  ,   MBA  ,22:45  ,  4R  ,      ,   KYS  ,               ,      ,23:59  ,    E90  ,                 
 65  ,    ft.Full  ,       KQ625  ,   MBA  ,06:15  , J4B  ,  22  ,   KQF  ,        KQ410  , EBB  ,08:00  ,   B737  ,                 
 66  ,    ft.Full  ,     KQ640D.  ,   MBA  ,13:45  ,  16  ,  16  ,   FFJ  ,        KQ484  , DAR  ,15:55  ,    E90  ,                 
 67  ,    ft.Full  ,       KQ643  ,   MYD  ,19:20  , J4B  ,  16  ,   FFG  ,        KQ498  , ZNZ  ,23:00  ,    E90  ,                 
 68  ,    ft.Full  ,       KQ655  ,   KIS  ,12:05  ,  4R  ,   2  ,   FFK  ,        KQ606  , MBA  ,13:05  ,    E90  ,                 
 69  ,    ft.Full  ,       KQ657  ,   KIS  ,15:25  ,  3B  ,   1  ,   FFG  ,        KQ642  , MYD  ,16:30  ,    E90  ,                 
 70  ,    ft.Full  ,       KQ671  ,   KIS  ,19:50  ,  J6  ,  23  ,   FFC  ,        KQ466  , KGL  ,23:20  ,    E90  ,                 
