flight_type,in_flight_no,origin,eta,bay,gate,reg_no,out_flight_no,dest,etd,ac_type
Full,KQ351,JUB,12:10,3B,1,FFH,KQ608,MBA,14:15,E90
Full,KQ353,JUB,18:00,3C,1,KYR,KQ624,MBA,22:55,E90
Full,KQ403,ADD,17:30,20,20,FFJ,KQ416,EBB,19:10,E90
Full,KQ411,EBB,11:05,14,14,KQG,KQ412,EBB,12:00,B737
Arr,KQ413,EBB,15:05,SPV1,,KQG,,,16:29,B737
Park,,EBB,16:35,SPV1,,KQG,,,22:23,B737
Dep,,EBB,22:29,SPV1,None,KQG,,,23:59,B737
Full,KQ415,EBB,19:25,12,12,KYQ,KQ488,DAR,22:55,E90
Full,KQ417,EBB,22:15,14,14,FFJ,KQ466,KGL,23:20,E90
Full,KQ419,EBB,6:35,J4A,21,FFF,KQ432,JRO,8:00,E90
Arr,KQ433,JRO,10:45,12,,FFF,,BJM,12:09,E90
Park,,JRO,12:15,12,,FFF,,BJM,14:34,E90
Dep,,JRO,14:40,12,12,FFF,KQ444,BJM,16:10,E90
Full,KQ437,JRO,22:00,2C,None,KYT,,,23:59,E90
Arr,KQ444,BJM,21:15,14,,KYP,,KIS,22:39,E90
Park,,BJM,22:45,4L,,KYP,,KIS,5:14,E90
Dep,,BJM,5:20,4L,2,KYP,KQ650,KIS,6:50,E90
Full,KQ444,BJM,21:15,9,24,FFF,KQ498,ZNZ,23:00,E90
Arr,KQ447,KGL,6:05,J2A,,KYT,,APL,7:29,E90
Park,,KGL,7:35,J2A,,KYT,,APL,10:49,E90
Dep,,KGL,10:55,J2A,15,KYT,KQ748,APL,12:25,E90
Arr,KQ448,BJM,12:50,13,,KYS,,DAR,14:14,E90
Park,,BJM,14:20,13,,KYS,,DAR,17:14,E90
Dep,,BJM,17:20,13,13,KYS,KQ486,DAR,18:50,E90
Full,KQ481,DAR,11:10,16,16,KYD,KQ586,NLA,12:30,B738
Full,KQ483,DAR,15:30,16,16,KYQ,KQ414,EBB,16:20,E90
Arr,KQ485,DAR,19:20,9,,KYS,,BJM,20:44,E90
Park,,DAR,20:50,9,,KYS,,BJM,6:09,E90
Dep,,DAR,6:15,9,9,KYS,KQ448,BJM,7:45,E90
Full,KQ485,DAR,19:20,10,12,FFG,KQ734,LUN,22:45,E90
Arr,KQ487,DAR,22:15,J6,,FFB,,TNR,23:39,E90
Park,,DAR,23:45,J6,,FFB,,TNR,11:09,E90
Dep,,DAR,11:15,J6,21,FFB,KQ256,TNR,12:45,E90
Full,KQ487,DAR,22:15,6,None,KYS,,,23:59,E90
Full,KQ489,DAR,6:40,J3B,15,KYQ,KQ494,ZNZ,8:05,E90
Full,KQ495,ZNZ,11:15,13,13,KYQ,KQ482,DAR,12:05,E90
Full,KQ509 ,ACC, 6:10,14,14,CYA ,KQ760 ,JNB ,8:30,B738
Full ,KQ521, ABJ, 6:20 ,16,16,KYE, KQ504, FNA, 10:35,B738
Full ,KQ522, NSI, 21:40, J6, None, KYF,,, 23:59,B738
Arr,KQ524,DLA, 18:20, 4L,,KYF,, NSI, 19:44,B738
Park,, DLA, 19:50, J7,, KYF,, NSI, 9:44 ,B738
Dep,, DLA ,9:50,19,19, KYF ,KQ522, NSI, 11:20,B738
Arr, KQ533, LOS ,19:50,10,,CYD,,COO, 21:14,B738
Park ,,LOS, 21:20,10,, CYD,, COO, 6:19,B738
Dep ,,LOS, 6:25,10,10, CYD, KQ542, COO, 7:55,B738
Arr ,KQ537 ,ABV ,18:25,J2B,, FFC,,, 19:49, E90 
Park ,,ABV ,19:55, J2B,, FFC ,,,22:23, E90 
Dep,, ABV, 22:29, J2B, None, FFC,,, 23:59, E90 
Full ,KQ542, LOS ,21:00,J4B ,None ,CYD,,, 23:59 ,B738
Full ,KQ555, FIH, 20:25,19,19,KZB ,KQ112, CDG ,23:05,B788
Arr, KQ584 ,FBM ,20:05, J1 ,,KQH ,,HAH ,21:29,B737
Park,, FBM, 21:35, J1,, KQH, ,HAH, 9:54,B737
Dep,, FBM ,10:00, J1,15, KQH, KQ252, HAH, 11:30,B737
Full ,KQ586, NLA ,20:05,J3B, None, KYD,,, 23:59,B738
Arr, KQ601 ,MBA, 9:30 ,SPV2,, FFK,,,10:54, E90 
