idx  ,flight_type  ,in_flight_no  ,origin  ,  eta  , bay  ,gate  ,reg_no  ,out_flight_no  ,dest  ,  etd  ,ac_type  
110  ,     ft.Dep  ,              ,   LUN  ,10:00  , J3A  , 20B  ,   FFA  ,        KQ250  , SEZ  ,11:30  ,    E90  
111  ,    ft.Full  ,       KQ704  ,   LUN  ,20:30  ,  18  ,  18  ,   CYB  ,        KQ764  , JNB  ,21:50  ,   B738  
112  ,    ft.Full  ,       KQ717  ,   GBE  ,06:50  ,  H3  ,  21  ,   FFG  ,        KQ730  , LLW  ,08:15  ,    E90  
113  ,    ft.Full  ,       KQ720  ,   HRE  ,06:50  ,  H5  ,   1  ,   KYR  ,        KQ604  , MBA  ,10:15  ,    E90  
114  ,    ft.Full  ,       KQ731  ,   LLW  ,13:30  ,  18  ,  18  ,   FFG  ,        KQ484  , DAR  ,15:55  ,    E90  
115  ,    ft.Full  ,       KQ749  ,   APL  ,18:05  ,  18  ,  18  ,   KYT  ,        KQ436  , JRO  ,19:20  ,    E90  
116  ,     ft.Arr  ,       KQ752  ,   BLZ  ,19:45  ,  13  ,      ,   KQG  ,               , EBB  ,21:09  ,   B737  
117  ,    ft.Park  ,              ,   BLZ  ,21:15  ,  13  ,      ,   KQG  ,               , EBB  ,06:24  ,   B737  
118  ,     ft.Dep  ,              ,   BLZ  ,06:30  ,  13  ,  13  ,   KQG  ,        KQ410  , EBB  ,08:00  ,   B737  
119  ,    ft.Full  ,       KQ761  ,   JNB  ,17:40  ,  13  ,  13  ,   CYA  ,        KQ204  , BOM  ,21:25  ,   B738  
120  ,    ft.Full  ,       KQ763  ,   JNB  ,21:25  ,  14  ,  14  ,   CYC  ,        KQ304  , DXB  ,22:30  ,   B738  
121  ,    ft.Full  ,       KQ765  ,   JNB  ,06:55  ,  12  ,   1  ,   CYC  ,        KQ602  , MBA  ,08:30  ,   B738  
122  ,    ft.Full  ,      KQ8603  ,   MBA  ,12:25  ,  4R  ,   2  ,   KQB  ,       KQ8606  , MBA  ,14:00  ,   B73J  
123  ,    ft.Full  ,      KQ8607  ,   MBA  ,16:45  ,  4R  ,   1  ,   KQB  ,       KQ8608  , MBA  ,19:30  ,   B737  
124  ,     ft.Arr  ,      KQ8609  ,   MBA  ,22:15  ,  J8  ,      ,   KQB  ,               , MBA  ,23:39  ,   B737  
125  ,    ft.Park  ,              ,   MBA  ,23:45  ,  2C  ,      ,   KQB  ,               , MBA  ,08:04  ,   B737  
126  ,     ft.Dep  ,              ,   MBA  ,08:10  ,  2C  ,   2  ,   KQB  ,       KQ8602  , MBA  ,09:40  ,   B737  
127  ,    ft.Full  ,      KQ8609  ,   MBA  ,22:15  ,  4L  ,      ,   KQB  ,               ,      ,23:59  ,   B737  
128  ,    ft.Full  ,      KQ8651  ,   KIS  ,08:30  ,  3C  ,   9  ,   QUE  ,       KQ8690  , UKU  ,09:10  ,    AT7  
129  ,     ft.Arr  ,      KQ8655  ,   KIS  ,20:00  ,  2A  ,      ,   QUE  ,               , KIS  ,21:24  ,    AT7  
130  ,    ft.Park  ,              ,   KIS  ,21:30  ,  2A  ,      ,   QUE  ,               , KIS  ,04:54  ,    AT7  
131  ,     ft.Dep  ,              ,   KIS  ,05:00  ,  2A  ,   2  ,   QUE  ,       KQ8650  , KIS  ,06:30  ,    AT7  
132  ,    ft.Full  ,      KQ8655  ,   KIS  ,20:00  ,  3A  ,      ,   QHW  ,               ,      ,23:59  ,    AT7  
133  ,    ft.Full  ,      KQ8661  ,   EDL  ,09:00  ,  3A  ,   2  ,   QHW  ,       KQ8680  , LAU  ,09:40  ,    AT7  
134  ,     ft.Arr  ,      KQ8665  ,   EDL  ,19:10  ,  3B  ,      ,   QHW  ,               , EDL  ,20:34  ,    AT7  
135  ,    ft.Park  ,              ,   EDL  ,20:40  ,  3B  ,      ,   QHW  ,               , EDL  ,05:24  ,    AT7  
136  ,     ft.Dep  ,              ,   EDL  ,05:30  ,  3B  ,   2  ,   QHW  ,       KQ8660  , EDL  ,07:00  ,    AT7  
137  ,    ft.Full  ,      KQ8665  ,   EDL  ,19:10  ,  2A  ,      ,   QUE  ,               ,      ,23:59  ,    AT7  
138  ,    ft.Full  ,      KQ8681  ,   MYD  ,13:30  ,  2A  ,   2  ,   QHW  ,       KQ8654  , KIS  ,18:00  ,    AT7  
139  ,    ft.Full  ,      KQ8691  ,   UKU  ,11:30  ,  3A  ,  24  ,   QUE  ,       KQ8692  , UKU  ,14:10  ,    AT7  
140  ,    ft.Full  ,      KQ8693  ,   UKU  ,16:30  ,  3A  ,   2  ,   QUE  ,       KQ8664  , EDL  ,17:10  ,    AT7  
141  ,     ft.Arr  ,       KQ887  ,   BKK  ,06:45  ,  17  ,      ,   KZE  ,               , BKK  ,08:09  ,   B788  
142  ,    ft.Park  ,              ,   BKK  ,08:15  ,  17  ,      ,   KZE  ,               , BKK  ,21:34  ,   B788  
143  ,     ft.Dep  ,              ,   BKK  ,21:40  ,  17  ,  17  ,   KZE  ,        KQ886  , BKK  ,23:10  ,   B788  
144  ,    ft.Full  ,       LX294  ,   ZRH  ,18:40  ,   5  ,   5  ,        ,        LX295  , DAR  ,19:35  ,   A330  
145  ,    ft.Full  ,       MK534  ,   MRU  ,11:50  ,  J5  ,  22  ,        ,        MK535  , MRU  ,13:05  ,   A332  
146  ,    ft.Full  ,       MS849  ,   CAI  ,07:10  ,   7  ,   7  ,        ,        MS850  , CAI  ,08:10  ,   A320  
